OBJECTID,School Name,District,DPI Unique ID,School Type,Agency Type,Grade Range,School Style,Choice School?,Full Address,School Website,Lowest Grade,Highest Grade,CESA,District ID,School Code,Choice Reporting Type,Virtual?,Physical Street Address,City,State,ZIP Code,County,Locale Code,Locale,Latitude,Longitude,Wisconsin State Assembly,Wisconsin State Senate,US Congressional,x,y
18,Assumption Catholic School,Durand-Arkansaw,S14996300,Elementary School,Private school,K4-08,Unknown,No,"901 W Prospect St  Durand, WI 54736-1093",,K4,08,11,1499,6300,,No,901 W Prospect St,Durand,WI,54736-1093,Pepin,42,Rural - Distant,44.62244948,-91.97143947,29,10,3,363602.9275,462901.101600001
19,Assumption High School,Wisconsin Rapids,S66851307,High School,Private school,09-12,Unknown,Yes,"445 Chestnut St  Wisconsin Rapids, WI 54494-4894",https://www.assumptioncatholicschools.org,09,12,5,6685,1307,Voucher Students,No,445 Chestnut St,Wisconsin Rapids,WI,54494-4894,Wood,32,Town - Distant,44.38437601,-89.82547499,72,24,3,533901.7381,434580.8894
20,Assumption Middle School,Wisconsin Rapids,S66851198,Middle School,Private school,06-08,Unknown,Yes,"440 Mead St  Wisconsin Rapids, WI 54494",https://www.assumptioncatholicschools.org,06,08,5,6685,1198,Voucher Students,No,440 Mead St,Wisconsin Rapids,WI,54494,Wood,32,Town - Distant,44.38437601,-89.82547499,72,24,3,533901.7381,434580.8894
21,Assumption of the Blessed Virgin Mary School,Pulaski Community,S46130090,Elementary School,Private school,K4-06,Unknown,Yes,"109 E Pulaski St  Pulaski, WI 54162-9287",https://abvmeducation.org,K4,06,7,4613,0090,Voucher Students,No,109 E Pulaski St,Pulaski,WI,54162-9287,Brown,42,Rural - Distant,44.67343701,-88.24199501,6,2,8,659342.7695,468177.6314
22,Atlas Preparatory Academy Inc,Milwaukee,S36191263,Combined Elementary/Secondary School,Private school,K4-12,Unknown,Yes,"1039 E Russell Ave  Milwaukee, WI 53207-1820",https://www.atlasprep.net,K4,12,1,3619,1263,Voucher Students,No,1039 E Russell Ave,Milwaukee,WI,53207-1820,Milwaukee,11,City - Large,42.99615402,-87.89556299,20,7,4,691542.6519,282536.572000001
23,Atonement Lutheran School,Milwaukee,S36191301,Elementary School,Private school,K4-08,Unknown,Yes,"4224 W Ruby Ave  Milwaukee, WI 53209-5850",https://www.atonementmke.org,K4,08,1,3619,1301,All Students,No,4224 W Ruby Ave,Milwaukee,WI,53209-5850,Milwaukee,11,City - Large,43.09923399,-87.96580099,17,6,4,685539.4988,293842.945699999
24,Augusta Mennonite School,Augusta,S02170102,Combined Elementary/Secondary School,Private school,01-09,Unknown,No,"County Road GG  Augusta, WI 54722",,01,09,10,0217,0102,,No,County Road GG,Augusta,WI,54722,Eau Claire,42,Rural - Distant,44.7424146,-91.13895725,91,31,3,429831.386,474967.478599999
25,Augustine Academy,Lake Country,S38621738,Combined Elementary/Secondary School,Private school,K4-12,Unknown,No,"1100 Highway 83  Hartland, WI 53029",https://www.augustineacademy.com,K4,12,1,3862,1738,,No,1100 Highway 83,Hartland,WI,53029,Waukesha,21,Suburb - Large,43.063203,-88.36565599,97,33,5,653077.3178,289129.562899999
26,Ave Maria Academy,Plum City,S44591526,Combined Elementary/Secondary School,Private school,K4-08,Unknown,No,"208 Church Rd  Plum City, WI 54761-9029",https://www.avemariaacademypc.org,K4,08,11,4459,1526,,No,208 Church Rd,Plum City,WI,54761-9029,Pierce,43,Rural - Remote,44.62736802,-92.19376497,29,10,3,345980.1158,463897.9822
27,Bader Hillel High Inc,Nicolet Union High School,S21771791,High School,Private school,09-12,Unknown,Yes,"2315 W Good Hope Rd  Glendale, WI 53209-2735",https://hillelhigh.com,09,12,1,2177,1791,Voucher Students,No,2315 W Good Hope Rd,Glendale,WI,53209-2735,Milwaukee,21,Suburb - Large,43.14680599,-87.94010099,10,4,4,687501.0876,299177.1557
