OBJECTID,School Name,District,School Type,Agency Type,Grade Range,Lowest Grade,Highest Grade,School Style,Charter?,Virtual?,CESA,District ID,School Code,DPI Unique Join Code,NCES Code,NCES District Code,NCES School Code,Full Address,Physical Street Address,City,State,ZIP Code,County of District Office,Locale Code,Locale,School Website,Wisconsin Assembly District,Wisconsin Senate District,US Congressional District,County (Physical),Latitude,Longitude,x,y
730,Hales Corners Elementary,Whitnall,Elementary School,Public school,PK-05,KG,05,Regular,No,No,1,6470,0040,S64700040,550600000658,5506000,00658,"11320 W Janesville Rd  Hales Corners, WI 53130",11320 W Janesville Rd,Hales Corners,WI,53130,Milwaukee,21,Suburb - Large,https://www.whitnall.com,61,21,1,Milwaukee,42.93869431,-88.0550491,678689.5041,275842.1075
731,Halmstad Elementary,Chippewa Falls Area Unified,Elementary School,Public school,KG-05,KG,05,Regular,No,No,10,1092,0110,S10920110,550255000284,5502550,00284,"565 E South Ave  Chippewa Falls, WI 54729-3402",565 E South Ave,Chippewa Falls,WI,54729-3402,Chippewa,22,Suburb - Midsize,https://cfsd.chipfalls.k12.wi.us,92,31,3,Chippewa,44.91444212,-91.3794793,411114.1953,494371.6512
732,Hamilton Elementary School,La Crosse,Elementary School,Public school,PK-05,K4,05,Regular,No,No,4,2849,0100,S28490100,550753000858,5507530,00858,"1111 7th St S  La Crosse, WI 54601-5474",1111 7th St S,La Crosse,WI,54601-5474,La Crosse,13,City - Small,https://www.lacrosseschools.org,96,32,3,La Crosse,43.80005021,-91.24693857,419692.3374,370420.7896
733,Hamilton High,Hamilton,High School,Public school,09-12,09,12,Regular,No,No,1,2420,0040,S24200040,550603000664,5506030,00664,"W220N6151 Town Line Rd  Sussex, WI 53089",W220N6151 Town Line Rd,Sussex,WI,53089,Waukesha,21,Suburb - Large,https://www.hamilton.k12.wi.us,98,33,5,Waukesha,43.12873071,-88.18752776,667424.4898,296704.661
734,Hamilton High,Milwaukee,High School,Public school,09-12,09,12,Regular,No,No,1,3619,0018,S36190018,550960001180,5509600,01180,"6215 W Warnimont Ave  Milwaukee, WI 53220-1322",6215 W Warnimont Ave,Milwaukee,WI,53220-1322,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,7,3,4,Milwaukee,42.97830164,-87.99040063,683859.1854,280364.6533
735,Hamilton Middle,Madison Metropolitan,Middle School,Public school,06-08,06,08,Regular,No,No,2,3269,0810,S32690810,550852000966,5508520,00966,"4801 Waukesha St  Madison, WI 53705-4899",4801 Waukesha St,Madison,WI,53705-4899,Dane,11,City - Large,https://hamilton.madison.k12.wi.us/,79,27,2,Dane,43.06484519,-89.45950767,564008.3283,288157.5233
736,Hampton Elementary,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0205,S36190205,550960001181,5509600,01181,"5000 N 53rd St  Milwaukee, WI 53218-4333",5000 N 53rd St,Milwaukee,WI,53218-4333,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,11,4,4,Milwaukee,43.10887539,-87.97824738,684500.7766,294889.1644
737,HAPA-Hmong American Peace Academy K3-12,Milwaukee,Combined Elementary/Secondary School,Public school,PK-12,K4,12,Regular,Yes,No,1,3619,0880,S36190880,550960002979,5509600,02979,"4601 N 84th St  Milwaukee, WI 53225-4958",4601 N 84th St,Milwaukee,WI,53225-4958,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,12,4,4,Milwaukee,43.1014341,-88.01864621,681233.1552,293984.2665
738,Harborside Academy,Kenosha,High School,Public school,06-12,06,12,Regular,Yes,No,1,2793,0490,S27930490,550732002754,5507320,02754,"913 57th St  Kenosha, WI 53140",913 57th St,Kenosha,WI,53140,Kenosha,13,City - Small,https://www.kusd.edu,65,22,1,Kenosha,42.58318086,-87.82253814,698679.9883,236827.451099999
739,Harmony Elementary,Milton,Elementary School,Public school,PK-03,K4,03,Regular,No,No,2,3612,0160,S36120160,550957002600,5509570,02600,"4243 E Rotamer Rd  Janesville, WI 53546",4243 E Rotamer Rd,Janesville,WI,53546,Rock,13,City - Small,https://www.milton.k12.wi.us,43,15,1,Rock,42.72940866,-88.96076124,605077.7725,251290.3738
740,Harold S Vincent School of Agricultural Science,Milwaukee,High School,Public school,09-12,09,12,Regular,No,No,1,3619,0033,S36190033,550960002272,5509600,02272,"7501 N Granville Rd  Milwaukee, WI 53224-3927",7501 N Granville Rd,Milwaukee,WI,53224-3927,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,12,4,4,Milwaukee,43.15488458,-88.03116387,680075.0011,299896.2161
741,Harrison Elementary,Janesville,Elementary School,Public school,PK-05,KG,05,Regular,No,No,2,2695,0110,S26950110,550702000761,5507020,00761,"760 Princeton Rd  Janesville, WI 53546-2000",760 Princeton Rd,Janesville,WI,53546-2000,Rock,13,City - Small,https://www.janesville.k12.wi.us/har,43,15,1,Rock,42.69219916,-88.97135283,604261.002,247147.8588
742,Hartford Avenue Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0208,S36190208,550960001183,5509600,01183,"2227 E Hartford Ave  Milwaukee, WI 53211-3101",2227 E Hartford Ave,Milwaukee,WI,53211-3101,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,19,7,4,Milwaukee,43.07711393,-87.88212322,692411.3118,291555.0626
